ID,type,dwc:country,dwc:stateOrProvince,dwc:island,dwc:verbatimLocality,dwc:habitat,dwc:minimumElevationInMeters,dwc:maximumElevationInMeters,dwc:recordedBy,dwc:recordNumber,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:disposition,sourceID
_:ts000164,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes","Mossy forest, on ground",2250.0,2250.0,"Brass, L.J.",22854,H,,,,https://tropicos.org/reference/9020903
_:ts000165,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes","Mossy forest, on ground",2250.0,2250.0,"Brass, L.J.",22854,CBG,,,,https://tropicos.org/reference/9020903
_:ts000166,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes","Mossy forest, on ground",2250.0,2250.0,"Brass, L.J.",22854,FH,,,,https://tropicos.org/reference/9020903
_:ts000167,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes","Dryish forest of slopes, tufted on logs and lower tree trunks",2000.0,2000.0,"Brass, L.J.",22558,CBG,,,,https://tropicos.org/reference/9020903
_:ts000168,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes","Dryish forest of slopes, tufted on logs and lower tree trunks",2000.0,2000.0,"Brass, L.J.",22558,FH,,,,https://tropicos.org/reference/9020903
_:ts000169,dwc:MaterialCitation,Papua New Guinea,Milne Bay,,"Mt. Dayman, north slopes",Lower tree trunks in mossy forest,2230.0,2230.0,"Brass, L.J.",22390,FH,,,,https://tropicos.org/reference/9020903
_:ts000170,dwc:MaterialCitation,Papua New Guinea,Morobe,,"Auf dem Gipfel des Gelu (Finisterregebirge) , c. 1700 m",,,,Werner,s.n.,JE,,,,https://tropicos.org/reference/9020903
_:ts000171,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000172,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,BM,,,,https://tropicos.org/reference/9020903
_:ts000173,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,FH,,,,https://tropicos.org/reference/9020903
_:ts000174,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,JE,,,,https://tropicos.org/reference/9020903
_:ts000175,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,L,,,,https://tropicos.org/reference/9020903
_:ts000176,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, Paka Cave to Lobang",,,,Clemens,10747,NY,,,,https://tropicos.org/reference/9020903
_:ts000177,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, c. 3500 m",,,,Haviland,1424,BM,,,,https://tropicos.org/reference/9020903
_:ts000178,dwc:MaterialCitation,Malaysia,Sabah,,"Mt. Kinabalu, c. 3500 m",,,,Haviland,1424,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000179,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000180,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,L,,,,https://tropicos.org/reference/9020903
_:ts000181,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,BM,,,,https://tropicos.org/reference/9020903
_:ts000182,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000183,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,NY,,,,https://tropicos.org/reference/9020903
_:ts000184,dwc:MaterialCitation,Indonesia,,Java,,,,,Zollinger,2101,S,,,,https://tropicos.org/reference/9020903
_:ts000185,dwc:MaterialCitation,Indonesia,Java,,,,,,Hb. Miquelianum,,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000186,dwc:MaterialCitation,Indonesia,Java,,,,,,Hb. Miquelianum,,S,,,,https://tropicos.org/reference/9020903
_:ts000187,dwc:MaterialCitation,Indonesia,,Java,,,,,Herb. A. Braun,,,,,not located,https://tropicos.org/reference/9020903
_:ts000188,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,FH,FH-FL,,not located,https://tropicos.org/reference/9020903
_:ts000189,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,L,,,,https://tropicos.org/reference/9020903
_:ts000190,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,BM,,,,https://tropicos.org/reference/9020903
_:ts000191,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000192,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,JE,,,,https://tropicos.org/reference/9020903
_:ts000193,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,NY,,,,https://tropicos.org/reference/9020903
_:ts000194,dwc:MaterialCitation,Indonesia,,Java,Auf dem Gipfel des Pangerango bei Kandang Bada am Gedeh,,,,Fleischer,s.n.,S,,,,https://tropicos.org/reference/9020903
_:ts000195,dwc:MaterialCitation,Philippines,Benquet,Luzon,Mt. Ugo,,,,Ramos,Bur. Sci. 5867,H,H-BR,,not found,https://tropicos.org/reference/9020903
_:ts000196,dwc:MaterialCitation,Philippines,Benquet,Luzon,Mt. Ugo,,,,Ramos,Bur. Sci. 5867,BM,,,,https://tropicos.org/reference/9020903
_:ts000197,dwc:MaterialCitation,Philippines,Benquet,Luzon,Mt. Ugo,,,,Ramos,Bur. Sci. 5867,NY,,,,https://tropicos.org/reference/9020903
_:ts000198,dwc:MaterialCitation,Philippines,Abra,Luzon,Mount Posuey,,,,Ramos,Bur. Sci. 27090,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000199,dwc:MaterialCitation,Philippines,Abra,Luzon,Mount Posuey,,,,Ramos,Bur. Sci. 27090,BM,,,,https://tropicos.org/reference/9020903
_:ts000200,dwc:MaterialCitation,Philippines,Abra,Luzon,Mount Posuey,,,,Ramos,Bur. Sci. 27090,L,,,,https://tropicos.org/reference/9020903
_:ts000201,dwc:MaterialCitation,Philippines,Abra,Luzon,Mount Posuey,,,,Ramos,Bur. Sci. 27090,NY,,,,https://tropicos.org/reference/9020903
_:ts000202,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Lake Habbema, 3225 m",,,,Brass,9252,FH,,,,https://tropicos.org/reference/9020903
_:ts000203,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Lake Habbema, 3225 m",,,,Brass,9252,BM,,,,https://tropicos.org/reference/9020903
_:ts000204,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Lake Habbema, 3225 m",,,,Brass,9252,L,,,,https://tropicos.org/reference/9020903
_:ts000205,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Lake Habbema, 3225 m",,,,Brass,9252,NY,,,,https://tropicos.org/reference/9020903
_:ts000206,dwc:MaterialCitation,Papua New Guinea,Eastern Highlands,,"Watabung Terr., between Goroka and Kundiawa, 2620 m",,,,Iserentant,B-48A,H,,,,https://tropicos.org/reference/9020903
_:ts000207,dwc:MaterialCitation,Papua New Guinea,Madang,,"Finisterre Range, Lake Naho Region, 2500 m",,,,Eddy,1172,BM,,,,https://tropicos.org/reference/9020903
_:ts000208,dwc:MaterialCitation,Papua New Guinea,Eastern Highlands,,"Doulo Pass (25 km W of Goroka) , north of Highlands Highway, 2550 m",,,,Hoffmann,89-352,CBG,,,,https://tropicos.org/reference/9020903
_:ts000209,dwc:MaterialCitation,Papua New Guinea,Eastern Highlands,,"Doulo Pass (25 km W of Goroka) , north of Highlands Highway, 2550 m",,,,Hoffmann,89-352,NY,,,,https://tropicos.org/reference/9020903
_:ts000210,dwc:MaterialCitation,Papua New Guinea,Morobe,,"5 km SE of Lake Wamba (5 km S of Tep-Tep Airstrip) , on saddle of ridge leading to top of Mt. Finisterre, 3000 m",,,,Norris,64304 p.p.,H,,,,https://tropicos.org/reference/9020903
_:ts000211,dwc:MaterialCitation,Papua New Guinea,Enga,,"Wabag area, Sugarloaf area south of Wapenamanda, 3000 m",,,,Robbins,2813,FH,FH-Bartr.,,,https://tropicos.org/reference/9020903
_:ts000212,dwc:MaterialCitation,Papua New Guinea,Enga,,"Wabag area, Sugarloaf area south of Wapenamanda, 3000 m",,,,Robbins,2813,L,,,,https://tropicos.org/reference/9020903
_:ts000213,dwc:MaterialCitation,Papua New Guinea,Western Highlands,,"Nebilyer River, 28 km WNW of Mt. Hagen, 2760 m",,,,Streimann,20602,CBG,,,,https://tropicos.org/reference/9020903
_:ts000214,dwc:MaterialCitation,Papua New Guinea,Western Highlands,,"Nebilyer River, 28 km WNW of Mt. Hagen, 2760 m",,,,Streimann,20602,H,,,,https://tropicos.org/reference/9020903
_:ts000215,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,173,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000216,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,173,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000217,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,173,FH,FH-Bartr.,,,https://tropicos.org/reference/9020903
_:ts000218,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,173,FH,FH-FL,,,https://tropicos.org/reference/9020903
_:ts000219,dwc:MaterialCitation,Indonesia,Irian Jaya,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,173,L,,,,https://tropicos.org/reference/9020903
_:ts000220,dwc:MaterialCitation,Papua New Guinea,,,"Cape Armit, Dedouri, J-a-la-River",,,,s. coll.,s.n.,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000221,dwc:MaterialCitation,Indonesia,Maluku,Buru,"Mittelburu, W. Elen, c. 1600 m",,,,K. Deninger,s.n.,JE,,,,https://tropicos.org/reference/9020903
_:ts000222,dwc:MaterialCitation,Indonesia,Maluku,Buru,"Mittelburu, W. Elen, c. 1600 m",,,,K. Deninger,s.n.,BM,,,,https://tropicos.org/reference/9020903
_:ts000223,dwc:MaterialCitation,Indonesia,Maluku,Buru,"Mittelburu, W. Elen, c. 1600 m",,,,K. Deninger,s.n.,S,,,,https://tropicos.org/reference/9020903
_:ts000224,dwc:MaterialCitation,Indonesia,Kalimantan Barat,Borneo,"Bukit Raja, c. 1300 m",,,,H. Winkler,3181,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000225,dwc:MaterialCitation,Papua New Guinea,,Bougainville,Near Lake Laralu,,,,S.F. Kajewski,(D),FH,FH-Bartr.,,,https://tropicos.org/reference/9020903
_:ts000226,dwc:MaterialCitation,Papua New Guinea,,Bougainville,Near Lake Laralu,,,,S.F. Kajewski,(D),FH,,,,https://tropicos.org/reference/9020903
_:ts000227,dwc:MaterialCitation,Papua New Guinea,Morobe,,"A-mieng (A-mien), on Yaneng (Yamen) River, a tributary of the Buso River, above mouth of Tosapik Creek, 5000-6000 ft",,,,M.S. Clemens,12229.12,FH,,,,https://tropicos.org/reference/9020903
_:ts000228,dwc:MaterialCitation,Nepal,,,,,,,D. Gardner,12229.12,BM,,,,https://tropicos.org/reference/9020903
